name,ticker,image_link
Nextera Energy,NEE,https://companiesmarketcap.com/img/company-logos/64/NEE.webp
Charles Schwab,SCHW,https://companiesmarketcap.com/img/company-logos/64/SCHW.webp
HSBC,HSBC,https://companiesmarketcap.com/img/company-logos/64/HSBC.webp
Agricultural Bank of China,601288.SS,https://companiesmarketcap.com/img/company-logos/64/601288.SS.webp
Raytheon Technologies,RTX,https://companiesmarketcap.com/img/company-logos/64/RTX.webp
QUALCOMM,QCOM,https://companiesmarketcap.com/img/company-logos/64/QCOM.webp
Royal Bank Of Canada,RY,https://companiesmarketcap.com/img/company-logos/64/RY.webp
CM Bank,3968.HK,https://companiesmarketcap.com/img/company-logos/64/3968.HK.webp
SAP,SAP,https://companiesmarketcap.com/img/company-logos/64/SAP.webp
ConocoPhillips,COP,https://companiesmarketcap.com/img/company-logos/64/COP.webp
AT&T,T,https://companiesmarketcap.com/img/company-logos/64/T.webp
Honeywell,HON,https://companiesmarketcap.com/img/company-logos/64/HON.webp
Ping An Insurance,601318.SS,https://companiesmarketcap.com/img/company-logos/64/601318.SS.webp
PetroChina,601857.SS,https://companiesmarketcap.com/img/company-logos/64/601857.SS.webp
American Express,AXP,https://companiesmarketcap.com/img/company-logos/64/AXP.webp
AMD,AMD,https://companiesmarketcap.com/img/company-logos/64/AMD.webp
Bank of China,601988.SS,https://companiesmarketcap.com/img/company-logos/64/601988.SS.webp
Unilever,UL,https://companiesmarketcap.com/img/company-logos/64/UL.webp
Amgen,AMGN,https://companiesmarketcap.com/img/company-logos/64/AMGN.webp
Lowe's Companies,LOW,https://companiesmarketcap.com/img/company-logos/64/LOW.webp
AIA,1299.HK,https://companiesmarketcap.com/img/company-logos/64/1299.HK.webp
Caterpillar,CAT,https://companiesmarketcap.com/img/company-logos/64/CAT.webp
Boeing,BA,https://companiesmarketcap.com/img/company-logos/64/BA.webp
Commonwealth Bank,CBA.AX,https://companiesmarketcap.com/img/company-logos/64/CBA.AX.webp
HDFC Bank,HDB,https://companiesmarketcap.com/img/company-logos/64/HDB.webp
Toronto Dominion Bank,TD,https://companiesmarketcap.com/img/company-logos/64/TD.webp
Union Pacific Corporation,UNP,https://companiesmarketcap.com/img/company-logos/64/UNP.webp
Goldman Sachs,GS,https://companiesmarketcap.com/img/company-logos/64/GS.webp
Siemens,SIE.DE,https://companiesmarketcap.com/img/company-logos/64/SIE.DE.webp
Starbucks,SBUX,https://companiesmarketcap.com/img/company-logos/64/SBUX.webp
Deere & Company,DE,https://companiesmarketcap.com/img/company-logos/64/DE.webp
IBM,IBM,https://companiesmarketcap.com/img/company-logos/64/IBM.webp
Lockheed Martin,LMT,https://companiesmarketcap.com/img/company-logos/64/LMT.webp
BP,BP,https://companiesmarketcap.com/img/company-logos/64/BP.webp
S&P Global,SPGI,https://companiesmarketcap.com/img/company-logos/64/SPGI.webp
Wuliangye Yibin,000858.SZ,https://companiesmarketcap.com/img/company-logos/64/000858.SZ.webp
Pinduoduo,PDD,https://companiesmarketcap.com/img/company-logos/64/PDD.webp
China Life Insurance,601628.SS,https://companiesmarketcap.com/img/company-logos/64/601628.SS.webp
Rio Tinto,RIO,https://companiesmarketcap.com/img/company-logos/64/RIO.webp
Sanofi,SNY,https://companiesmarketcap.com/img/company-logos/64/SNY.webp
Prologis,PLD,https://companiesmarketcap.com/img/company-logos/64/PLD.webp
Elevance Health,ELV,https://companiesmarketcap.com/img/company-logos/64/ELV.webp
Intel,INTC,https://companiesmarketcap.com/img/company-logos/64/INTC.webp
Meituan,3690.HK,https://companiesmarketcap.com/img/company-logos/64/3690.HK.webp
Intuit,INTU,https://companiesmarketcap.com/img/company-logos/64/INTU.webp
Anheuser-Busch Inbev,BUD,https://companiesmarketcap.com/img/company-logos/64/BUD.webp
CVS Health,CVS,https://companiesmarketcap.com/img/company-logos/64/CVS.webp
Keyence,6861.T,https://companiesmarketcap.com/img/company-logos/64/6861.T.webp
Porsche,P911.DE,https://companiesmarketcap.com/img/company-logos/64/P911.DE.webp
Medtronic,MDT,https://companiesmarketcap.com/img/company-logos/64/MDT.webp
Sony,SONY,https://companiesmarketcap.com/img/company-logos/64/SONY.webp
BlackRock,BLK,https://companiesmarketcap.com/img/company-logos/64/BLK.webp
BYD,002594.SZ,https://companiesmarketcap.com/img/company-logos/64/002594.SZ.webp
Deutsche Telekom,DTE.DE,https://companiesmarketcap.com/img/company-logos/64/DTE.DE.webp
Gilead Sciences,GILD,https://companiesmarketcap.com/img/company-logos/64/GILD.webp
CSL,CSL.AX,https://companiesmarketcap.com/img/company-logos/64/CSL.AX.webp
LG Energy Solution,373220.KS,https://companiesmarketcap.com/img/company-logos/64/373220.KS.webp
Equinor,EQNR,https://companiesmarketcap.com/img/company-logos/64/EQNR.webp
NTT (Nippon Telegraph & Telephone),NPPXF,https://companiesmarketcap.com/img/company-logos/64/NPPXF.webp
American Tower,AMT,https://companiesmarketcap.com/img/company-logos/64/AMT.webp
Stryker Corporation,SYK,https://companiesmarketcap.com/img/company-logos/64/SYK.webp
Airbus,AIR.PA,https://companiesmarketcap.com/img/company-logos/64/AIR.PA.webp
Citigroup,C,https://companiesmarketcap.com/img/company-logos/64/C.webp
Diageo,DEO,https://companiesmarketcap.com/img/company-logos/64/DEO.webp
Applied Materials,AMAT,https://companiesmarketcap.com/img/company-logos/64/AMAT.webp
TAQA,TAQA.AE,https://companiesmarketcap.com/img/company-logos/64/TAQA.AE.webp
Allianz,ALV.DE,https://companiesmarketcap.com/img/company-logos/64/ALV.DE.webp
Jingdong Mall,JD,https://companiesmarketcap.com/img/company-logos/64/JD.webp
Inditex,IDEXY,https://companiesmarketcap.com/img/company-logos/64/IDEXY.webp
Schneider Electric,SU.PA,https://companiesmarketcap.com/img/company-logos/64/SU.PA.webp
Automatic Data Processing,ADP,https://companiesmarketcap.com/img/company-logos/64/ADP.webp
Booking Holdings (Booking.com),BKNG,https://companiesmarketcap.com/img/company-logos/64/BKNG.webp
ServiceNow,NOW,https://companiesmarketcap.com/img/company-logos/64/NOW.webp
TJX Companies,TJX,https://companiesmarketcap.com/img/company-logos/64/TJX.webp
Analog Devices,ADI,https://companiesmarketcap.com/img/company-logos/64/ADI.webp
Estee Lauder,EL,https://companiesmarketcap.com/img/company-logos/64/EL.webp
Mondelez,MDLZ,https://companiesmarketcap.com/img/company-logos/64/MDLZ.webp
General Electric,GE,https://companiesmarketcap.com/img/company-logos/64/GE.webp
PayPal,PYPL,https://companiesmarketcap.com/img/company-logos/64/PYPL.webp
Mitsubishi UFJ Financial,MUFG,https://companiesmarketcap.com/img/company-logos/64/MUFG.webp
Chubb,CB,https://companiesmarketcap.com/img/company-logos/64/CB.webp
Cigna,CI,https://companiesmarketcap.com/img/company-logos/64/CI.webp
Merck KGaA,MRK.DE,https://companiesmarketcap.com/img/company-logos/64/MRK.DE.webp
Compagnie Financière Richemont,CFR.SW,https://companiesmarketcap.com/img/company-logos/64/CFR.SW.webp
Intuitive Surgical,ISRG,https://companiesmarketcap.com/img/company-logos/64/ISRG.webp
Marsh & McLennan Companies,MMC,https://companiesmarketcap.com/img/company-logos/64/MMC.webp
BNP Paribas,BNP.PA,https://companiesmarketcap.com/img/company-logos/64/BNP.PA.webp
Altria Group,MO,https://companiesmarketcap.com/img/company-logos/64/MO.webp
EssilorLuxottica,EL.PA,https://companiesmarketcap.com/img/company-logos/64/EL.PA.webp
British American Tobacco,BTI,https://companiesmarketcap.com/img/company-logos/64/BTI.webp
Air Liquide,AI.PA,https://companiesmarketcap.com/img/company-logos/64/AI.PA.webp
Regeneron Pharmaceuticals,REGN,https://companiesmarketcap.com/img/company-logos/64/REGN.webp
Mercedes-Benz,MBG.DE,https://companiesmarketcap.com/img/company-logos/64/MBG.DE.webp
Enbridge,ENB,https://companiesmarketcap.com/img/company-logos/64/ENB.webp
Glencore,GLCNF,https://companiesmarketcap.com/img/company-logos/64/GLCNF.webp
Al Rajhi Bank,1120.SR,https://companiesmarketcap.com/img/company-logos/64/1120.SR.webp
Progressive,PGR,https://companiesmarketcap.com/img/company-logos/64/PGR.webp
Schlumberger,SLB,https://companiesmarketcap.com/img/company-logos/64/SLB.webp
Volkswagen,VOW3.DE,https://companiesmarketcap.com/img/company-logos/64/VOW3.DE.webp
Canadian National Railway,CNI,https://companiesmarketcap.com/img/company-logos/64/CNI.webp
Infosys,INFY,https://companiesmarketcap.com/img/company-logos/64/INFY.webp
Target,TGT,https://companiesmarketcap.com/img/company-logos/64/TGT.webp
Vale,VALE,https://companiesmarketcap.com/img/company-logos/64/VALE.webp
EOG Resources,EOG,https://companiesmarketcap.com/img/company-logos/64/EOG.webp
Kering,KER.PA,https://companiesmarketcap.com/img/company-logos/64/KER.PA.webp
China Shenhua Energy,601088.SS,https://companiesmarketcap.com/img/company-logos/64/601088.SS.webp
Sinopec,600028.SS,https://companiesmarketcap.com/img/company-logos/64/600028.SS.webp
